factory_name,address,source,extraction_date,page_number,worker_count,latitude,longitude,geocoding_method,geocoding_confidence,identified_brands,brand_confidence,num_brands,primary_brand,max_confidence,brand_tier
"Sidko Limited Plot  36, Road  46, Gulshan North CA, Dhaka Dhaka Dhaka 1212 2 9884649 1 16 No No No 245 2",,Accord 2013,2025-09-22T21:15:09.725944,27,,23.7925,90.4078,exact_location,high,"['Uniqlo', 'C&A']","[1.0, 1.0]",2,Uniqlo,1.0,premium_fast_fashion
"SIR DENIM LTD 202 Afnan Plaza, 3rd Floor Mollarteck, Dakkhin","Khan Dhaka1230 , Bangladesh.Dhaka Dhaka 1230 No No  220 1",Accord 2013,2025-09-22T21:15:09.726674,27,,23.8103,90.4125,district,low,['PVH'],[1.0],1,PVH,1.0,other_brands
"SKYLINE CASUAL APPARELS LTD. Palashbari, Ashulia, Savar, Dhaka Dhaka Dhaka 1349 2 7791659 2 1723 No No Not Shared 2500 2","SM Knit Wear A107,BSCIC IE NARAYANGANJ Dhaka 1400 1916454047 No No 1 SM Knits Shirirchala, Bhabanipur Gazipur Dhaka 1617143565 3 1627 No No All 6493 1",Accord 2013,2025-09-22T21:15:09.726775,27,,24.017310191179245,90.38197732015385,area_match,medium,['C&A'],[1.0],1,C&A,1.0,value_fast_fashion
"Smart Jacket LTd Sheehan Textiles Ltd Plot 1112, Sector 1 , C.E.P.Z.",Chitta gongChittagong Chittagong 4220 1755545560 1 16 No No 3400 1,Accord 2013,2025-09-22T21:15:09.726885,27,,22.253892207360238,91.80209861041904,area_match,medium,['PVH'],[1.0],1,PVH,1.0,other_brands
"Smart Jackets BD Ltd Plot  13, Sector  1A, Road  5, CEPZ,","Chitta gongChittagong Chittagong 4233 31 800101 1 16 No Yes 14 1608 5 Smart Jeans 910, FIDC Road, kalurghat heavy industrial eastate , Kalur ghat, Chitta gongChittagong Chittagong 31 2570701 2 1 15 No No 2100 2",Accord 2013,2025-09-22T21:15:09.726953,27,,22.245735988139064,91.79799336239367,area_match,medium,['PVH'],[1.0],1,PVH,1.0,other_brands
"Smart Knitwear Ltd. House  105, Road  5, Block  A, Section  12,","Pallabi , Mirpur, DhakaDhaka Dhaka 1216 No No 1",Accord 2013,2025-09-22T21:15:09.727084,27,,23.8223,90.3654,exact_location,high,['PVH'],[1.0],1,PVH,1.0,other_brands
"Swan Jeans Ltd 258, Mollartak, Uttara, Dhaka Dhaka Dhaka 1230 2 8962745 54 2 16 26 No Yes 12 21 2186 1","SWAN1 SWEATER Ahmed Plaza Ambag Road,Konabari Gazipur Gazipur Dhaka 1730321048 1 4 No No NA 1000 1",Accord 2013,2025-09-22T21:15:09.971142,29,,24.0167,90.3833,exact_location,high,['H&M'],[1.0],1,H&M,1.0,premium_fast_fashion
"Tafop Apparels Ltd. Block A, Plot 1, 2, 3 part, BSCIC IA, Sagorika",RoadChittagong Chittagong 2 750325 No No 1,Accord 2013,2025-09-22T21:15:09.971423,29,,22.24982693727538,91.80364605752918,area_match,medium,['PVH'],[1.0],1,PVH,1.0,other_brands
"Tangon Knitwear Ltd. 2421 Deobhog Pucca Road,",Nara yangonjNarayanganj Dhaka 1400 2 7644683 No No 210 1,Accord 2013,2025-09-22T21:15:09.971987,29,,23.613496729578284,90.53523171640923,area_match,medium,['C&A'],[1.0],1,C&A,1.0,value_fast_fashion
"Taufiq Sweater Ltd. West Masdair, Fatullah, Narayangonj Narayanganj Dhaka 2 7631496 1 10 No No 10,1, 2,3,4,5,6,7,8","TDESIGN DESIGNTEX Zirabo, Ashulia, Savar, Dhaka1341, Bangladesh Dhaka 1341 2 7791380 15 Yes No Yes 500 1",Accord 2013,2025-09-22T21:15:09.972494,29,950.0,23.882950092269162,90.20146096434854,area_match,medium,['Walmart'],[1.0],1,Walmart,1.0,mass_market
