factory_name,address,source,extraction_date,page_number,worker_count,latitude,longitude,geocoding_method,geocoding_confidence,identified_brands,brand_confidence,num_brands,primary_brand,max_confidence,brand_tier
"Organic Jeans Ltd. Plot No. A1  2, BlockB, BSCIC Industrial Area,","Fouzderhat , Sagarika RoadChittagong Chittagong 2 1855545541 24 No No 1",Accord 2013,2025-09-22T21:15:09.254284,22,,22.246917717948307,91.79630358328215,area_match,medium,['PVH'],[1.0],1,PVH,1.0,other_brands
"Orient Allure Lingerie Ltd. Konabari, Gazipur Sadar, Gazipur, Dhaka Gazipur Dhaka 1346 1779563280 1 16 No Yes 13 1","Oriental Industrial Co. Ltd. Mogarkhal, C.S. Plot  97, Vogra Industrial Area,P.O.  National University, P.S. JoydebpurGazipur Dhaka No No  115 1",Accord 2013,2025-09-22T21:15:09.254393,22,,24.02001745723237,90.38285143285638,area_match,medium,[],[],0,,0.0,unidentified
"Orion Knit Textiles Ltd. Jamirdia, Habir bari, Valuka, Mymensingh Mymensingh Dhaka 2 8836278 No No 3",,Accord 2013,2025-09-22T21:15:09.254503,22,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"Ornate Knit Garments Industries ltd Dewan Idris Road, Boro Rangamatia, Ashulia,","Savar , Dhaka , BangladeshDhaka Dhaka 1342 1730000153 3 16 27 35 No Yes 11 5 20,3,5,6 30,2,4795 2",Accord 2013,2025-09-22T21:15:09.254529,22,,23.85668773997689,90.26991721343224,area_match,medium,[],[],0,,0.0,unidentified
"ORNOB FASHION WEAR LIMITED KATHORA, GACHHA, NATIONAL UNIVERSITY,","JOYDEPPUR , GAZIPURGazipur Dhaka 1704 2 9293801 3 112131 No No Not Shared 577 1",Accord 2013,2025-09-22T21:15:09.254619,22,,24.019806539509073,90.38661952521011,area_match,medium,[],[],0,,0.0,unidentified
Orpat Sweaters Ltd. 1NO MOHIM GANGULI ROAD ALJOYNAL,"Osanian Style and Fashion Wear 43 Chiriakhana Road, Mirpur1 Dhaka Dhaka Dhaka 1216 2 9020749 1 16 No No 2",Accord 2013,2025-09-22T21:15:09.254700,22,,23.8223,90.3654,exact_location,high,['Uniqlo'],[1.0],1,Uniqlo,1.0,premium_fast_fashion
Ospinter Garments Ltd. SFB 121st floor DEPZold zone DHAKA Dhaka 1349 2 7800000 12 No No 404 2,,Accord 2013,2025-09-22T21:15:09.254812,22,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"Outright Fashion Ltd. 965, Shewrapara, Rokeya Sharani, Mirpur,Dhaka Dhaka Dhaka 1216 2 9012996 1 110 Yes Yes 11,2,3,4,5,6 680 1",,Accord 2013,2025-09-22T21:15:09.254846,22,,23.8223,90.3654,exact_location,high,[],[],0,,0.0,unidentified
"Outwear Fashion Ltd 965, Shewrapara Rokeya Sharani, Mirpur, Dhaka Dhaka Dhaka 1216 2 9012996 1 10, 11, 12, 13, 14, 15,","191350 1 OVEN BOTTOM S.A 179, R.S 1356, JAMGARA, ASHULIA, DHAKA DHAKA Dhaka 9611689362 No No 4 1075 1",Accord 2013,2025-09-22T21:15:09.254879,22,,23.8223,90.3654,exact_location,high,[],[],0,,0.0,unidentified
"P. A Knit Composite Limited Hobirbari, Jamirdia,Valuka,Mymensingh Mymensingh Dhaka 2240 1 714029 1 15 No No 1250 1","P.M. Knittex  Pvt. Ltd. Chowdhuri bari, Godhnail, Narayangonj Narayanganj Dhaka 1400 1711524689 2 14  24 No No No 1500 1",Accord 2013,2025-09-22T21:15:09.255016,22,,23.613139382600433,90.53488837217512,area_match,medium,[],[],0,,0.0,unidentified
